BIHAR,ARWAL,2001,37,0,13,5,8,76,14,7,591
BIHAR,AURANGABAD,2001,74,16,24,19,28,155,3,33,1690
BIHAR,BAGAHA,2001,34,25,56,1,9,67,6,0,912
BIHAR,BANKA,2001,93,34,27,49,39,196,4,9,1386
BIHAR,BEGUSARAI,2001,124,13,53,18,67,147,6,21,2628
BIHAR,BETTIAH,2001,66,20,84,8,32,340,21,17,2796
BIHAR,BHABHUA,2001,41,10,43,34,26,186,21,8,1368
BIHAR,BHAGALPUR,2001,128,35,66,22,55,171,13,20,2634
BIHAR,BHOJPUR,2001,135,22,46,32,49,240,0,23,2806
BIHAR,BUXAR,2001,56,8,34,49,34,189,18,15,1674
BIHAR,DARBHANGA,2001,53,19,39,29,37,142,17,37,2572
BIHAR,GAYA,2001,200,25,66,100,114,417,23,26,3182
BIHAR,GOPALGANJ,2001,107,13,59,32,73,227,6,22,2098
BIHAR,JAMALPUR RLY.,2001,7,1,4,9,13,0,0,0,225
BIHAR,JAMUI,2001,67,10,14,22,14,134,1,16,1046
BIHAR,JEHANABAD,2001,73,6,35,15,22,170,0,25,1353
BIHAR,KATIHAR,2001,60,51,49,49,30,193,1,6,1811
BIHAR,KATIHAR RLY.,2001,7,0,3,18,19,9,0,0,417
BIHAR,KHAGARIA,2001,72,5,34,6,29,167,1,11,895
BIHAR,KISHANGANJ,2001,25,22,23,19,10,116,8,4,897
BIHAR,LAKHISARAI,2001,61,10,30,9,13,93,4,6,754
BIHAR,MADHEPURA,2001,56,11,49,17,31,157,8,6,1062
BIHAR,MADHUBANI,2001,35,13,36,24,17,195,4,12,2897
BIHAR,MOTIHARI,2001,114,44,100,30,79,365,23,37,3881
BIHAR,MUNGER,2001,51,11,45,6,29,218,12,8,1758
BIHAR,MUZAFFARPUR,2001,153,73,113,32,135,241,42,69,4212
BIHAR,MUZAFFARPUR RLY.,2001,13,2,5,4,15,13,1,0,538
BIHAR,NALANDA,2001,208,40,126,51,97,318,13,47,3479
BIHAR,NAUGACHIA,2001,36,7,29,15,18,56,1,4,570
BIHAR,NAWADAH,2001,77,15,42,16,31,183,12,17,1515
